,Number_of_beds,Number_of_hospitals,State,County,Urban_Rural_Code,Deaths_COVID,Deaths_total,never,rarely,sometimes,frequently,always,mask_score
123,0.0,0.0,WA,Skamania,,0,0,0.019,0.048,0.092,0.08,0.76,3.512
124,845.0,4.0,WA,Snohomish,Large fringe metro,284,"5,600",0.017,0.014,0.056,0.191,0.721,3.583
125,1478.0,6.0,WA,Spokane,Medium metro,344,"5,751",0.033,0.057,0.08,0.151,0.679,3.386
126,95.0,2.0,WA,Stevens,,0,0,0.05,0.039,0.069,0.257,0.585,3.288
127,500.0,2.0,WA,Thurston,Medium metro,56,"2,537",0.022,0.051,0.109,0.132,0.685,3.405
128,0.0,0.0,WA,Wahkiakum,,0,0,0.045,0.057,0.079,0.161,0.658,3.33
129,87.0,1.0,WA,Walla Walla,Small metro,38,651,0.083,0.022,0.061,0.193,0.641,3.287
130,253.0,1.0,WA,Whatcom,Small metro,63,"1,881",0.042,0.028,0.061,0.122,0.747,3.504
131,50.0,2.0,WA,Whitman,Micropolitan,21,269,0.002,0.009,0.049,0.31,0.629,3.553
132,460.0,4.0,WA,Yakima,Small metro,266,"2,239",0.012,0.035,0.069,0.143,0.74,3.562
